content,option1,option2,option3,option4,answer
What is the capital of France?,Berlin,Madrid,Paris,Lisbon,Paris
Which is the largest planet?,Earth,Jupiter,Mars,Saturn,Jupiter
What is the smallest prime number?,0,1,2,3,1
Who wrote 'Romeo and Juliet'?,Charles Dickens,William Shakespeare,Mark Twain,Jane Austen,William Shakespeare
What is the chemical symbol for water?,H2O,CO2,O,H2O2,H2O
Which element has the atomic number 1?,Oxygen,Hydrogen,Carbon,Helium,Hydrogen
What is the currency of Japan?,Yen,Won,Dollar,Rupee,Yen
Who painted the Mona Lisa?,Vincent van Gogh,Pablo Picasso,Leonardo da Vinci,Claude Monet,Leonardo da Vinci
What is the longest river in the world?,Amazon,Nile,Yangtze,Mississippi,Amazon
What year did the Titanic sink?,1912,1914,1915,1916,1912
